Student_ID,Age,Gender,City,Province,CGPA,Performance_Class,Family_Income_PKR,Parents_Education,Study_Hours_Per_Week,Attendance_Percentage,Internet_Access,Private_Tuition,Device_Available,Electricity_Availability,School_Type,Medium_of_Instruction,Distance_to_Institute_km,Transport_Mode,Parental_Support_Level,Health_Issues,Part_Time_Job,Extra_Curricular,Motivation_Level
57,18,Male,Hunza,Azad Kashmir,1.63,Weak,Low (<30k),Intermediate,17,55,No,No,Desktop,Consistent,Semi-Government,Urdu,5.5,Bus,Medium,Minor,No,None,Low
58,22,Female,Mirpur,Punjab,1.64,Weak,Low (<30k),Graduate,15,72,Yes,No,Desktop,Consistent,Semi-Government,Urdu,21.2,Van,Medium,None,Yes,Clubs,Medium
59,18,Female,Bannu,Punjab,1.64,Weak,Lower-Middle (30k-60k),Graduate,22,85,Yes,Yes,Desktop,Consistent,Public,Urdu,17.9,Van,Medium,None,No,None,Medium
60,19,Male,Okara,KPK,1.64,Weak,Upper-Middle (120k-250k),Graduate,12,55,No,Yes,Laptop,Consistent,Semi-Government,Urdu,31.5,Walk,Medium,Chronic,No,Clubs,Low
61,20,Male,Chiniot,Punjab,1.64,Weak,Low (<30k),Primary,20,58,No,No,None,Frequent Outages,Semi-Government,English,24.7,Bus,High,Minor,No,None,Low
62,19,Male,Swat,KPK,1.65,Weak,High (>250k),Postgraduate,7,77,Yes,No,Laptop,Frequent Outages,Public,Urdu,9.5,Walk,Medium,Chronic,No,Clubs,High
63,19,Male,Skardu,KPK,1.65,Weak,Upper-Middle (120k-250k),Intermediate,26,97,Yes,Yes,None,Frequent Outages,Public,Urdu,33.6,Car,High,None,Yes,Clubs,Low
64,22,Male,Swat,KPK,1.65,Weak,Middle (60k-120k),Postgraduate,23,79,No,Yes,Mobile,Frequent Outages,Public,English,28.6,Van,Low,Chronic,No,Clubs,Low
65,24,Female,Multan,Gilgit Baltistan,1.65,Weak,Lower-Middle (30k-60k),Matric,18,99,Yes,No,Mobile,Frequent Outages,Private,Urdu,9.3,Bike,Medium,Chronic,No,Sports,Medium
66,20,Male,Okara,Punjab,1.66,Weak,High (>250k),Postgraduate,12,60,No,No,Mobile,Frequent Outages,Public,Urdu,32.8,Bike,High,None,No,Sports,Medium
67,17,Male,Okara,Punjab,1.66,Weak,Low (<30k),Intermediate,20,97,Yes,Yes,Desktop,Consistent,Semi-Government,Urdu,33.0,Bike,Low,Minor,Yes,None,Medium
68,20,Female,Gilgit,Punjab,1.66,Weak,Middle (60k-120k),Primary,29,65,No,No,Desktop,Frequent Outages,Semi-Government,Urdu,4.2,Bus,Low,Minor,No,Clubs,Low
69,21,Female,Bahawalpur,Punjab,1.66,Weak,High (>250k),Matric,18,98,Yes,No,Mobile,Consistent,Private,Urdu,24.2,Bus,Low,None,Yes,None,Low
70,22,Male,Bhimber,Punjab,1.67,Weak,Upper-Middle (120k-250k),Intermediate,29,59,No,Yes,None,Consistent,Semi-Government,Urdu,21.7,Car,Medium,None,Yes,Clubs,Low
71,20,Female,Diamer,Punjab,1.67,Weak,High (>250k),Primary,22,57,No,No,Mobile,Frequent Outages,Private,Urdu,34.7,Car,High,None,No,None,Low
72,17,Female,Multan,Gilgit Baltistan,1.67,Weak,Middle (60k-120k),Postgraduate,25,84,No,Yes,Desktop,Frequent Outages,Semi-Government,English,32.8,Car,Low,Minor,No,Clubs,Low
73,21,Male,Muzaffarabad,Gilgit Baltistan,1.67,Weak,Upper-Middle (120k-250k),Postgraduate,25,91,Yes,No,Desktop,Frequent Outages,Private,English,25.5,Car,Low,Chronic,Yes,Sports,Medium
74,25,Male,Sialkot,Gilgit Baltistan,1.68,Weak,Upper-Middle (120k-250k),Intermediate,11,72,No,Yes,Laptop,Frequent Outages,Private,English,27.9,Walk,Medium,Minor,Yes,Sports,High
75,23,Male,Skardu,Punjab,1.68,Weak,Low (<30k),Graduate,26,56,Yes,Yes,Laptop,Frequent Outages,Public,Urdu,18.6,Car,Medium,None,No,None,Medium
76,24,Female,Okara,Azad Kashmir,1.68,Weak,Upper-Middle (120k-250k),Intermediate,7,70,Yes,No,Laptop,Frequent Outages,Semi-Government,English,33.2,Walk,Medium,None,No,None,Medium
77,19,Female,Abbottabad,Punjab,1.68,Weak,Middle (60k-120k),Primary,13,96,Yes,Yes,None,Consistent,Semi-Government,English,23.7,Van,Low,None,No,None,High
78,24,Male,Mansehra,Punjab,1.68,Weak,Middle (60k-120k),Primary,32,69,Yes,No,Mobile,Consistent,Public,Urdu,10.2,Van,Medium,None,Yes,None,Medium
79,20,Male,Swat,Punjab,1.69,Weak,Middle (60k-120k),Graduate,35,97,Yes,No,Laptop,Consistent,Public,English,31.4,Walk,High,Minor,No,Clubs,High
80,25,Male,Gujranwala,Punjab,1.69,Weak,Upper-Middle (120k-250k),Intermediate,37,91,Yes,No,Mobile,Consistent,Public,English,34.9,Van,High,Chronic,Yes,None,Medium
81,23,Male,Bahawalpur,Punjab,1.69,Weak,Lower-Middle (30k-60k),Intermediate,22,59,Yes,Yes,Desktop,Consistent,Private,English,12.3,Walk,High,Chronic,Yes,Sports,Low
82,23,Female,Muzaffarabad,Punjab,1.69,Weak,Middle (60k-120k),Postgraduate,36,61,Yes,Yes,None,Frequent Outages,Public,Urdu,13.2,Walk,Medium,None,Yes,None,Medium
83,22,Male,Mirpur,KPK,1.7,Weak,High (>250k),Intermediate,14,87,No,No,None,Consistent,Semi-Government,English,15.4,Van,High,Minor,Yes,None,Low
84,23,Female,Okara,Azad Kashmir,1.7,Weak,Middle (60k-120k),Intermediate,33,59,No,No,Laptop,Frequent Outages,Semi-Government,English,31.0,Bike,Low,Minor,No,Sports,Low
85,22,Female,Abbottabad,Azad Kashmir,1.7,Weak,Upper-Middle (120k-250k),Primary,23,74,No,Yes,Laptop,Frequent Outages,Public,English,16.3,Bike,Low,None,No,Sports,High
86,24,Male,Swat,Punjab,1.7,Weak,Upper-Middle (120k-250k),Graduate,30,56,No,Yes,None,Frequent Outages,Private,Urdu,10.6,Van,Low,None,Yes,Sports,Medium
87,18,Male,Muzaffarabad,KPK,1.71,Weak,Upper-Middle (120k-250k),Primary,38,84,No,No,None,Frequent Outages,Semi-Government,Urdu,23.8,Van,Low,None,Yes,None,Medium
88,22,Female,Abbottabad,Punjab,1.71,Weak,Upper-Middle (120k-250k),Graduate,29,64,No,Yes,Mobile,Frequent Outages,Private,Urdu,0.7,Bus,Medium,Minor,No,None,Low
89,21,Female,Sargodha,Punjab,1.71,Weak,High (>250k),Matric,27,86,Yes,Yes,Laptop,Consistent,Public,Urdu,22.1,Bus,Medium,Chronic,Yes,Sports,High
90,21,Female,Mirpur,Punjab,1.71,Weak,Middle (60k-120k),Intermediate,19,88,Yes,Yes,Laptop,Frequent Outages,Semi-Government,Urdu,16.9,Bus,Low,None,Yes,None,Medium
91,17,Male,Dir,KPK,1.72,Weak,Lower-Middle (30k-60k),Matric,34,89,No,No,None,Consistent,Public,English,25.9,Car,Low,Minor,Yes,Sports,Low
92,23,Male,Gilgit,Punjab,1.72,Weak,Low (<30k),Primary,8,82,No,No,Desktop,Frequent Outages,Semi-Government,English,31.0,Bus,Medium,Chronic,Yes,None,Medium
93,19,Female,Kotli,KPK,1.72,Weak,Low (<30k),Matric,17,75,Yes,Yes,Mobile,Consistent,Public,English,11.8,Bus,Low,Chronic,No,Clubs,Medium
94,23,Female,Bannu,Punjab,1.72,Weak,Low (<30k),Primary,34,69,Yes,Yes,Mobile,Frequent Outages,Public,Urdu,1.7,Bus,Low,None,Yes,Sports,Medium
95,25,Male,Lahore,Punjab,1.73,Weak,High (>250k),Graduate,21,78,No,Yes,Laptop,Frequent Outages,Private,Urdu,4.3,Walk,High,Chronic,Yes,None,Low
96,19,Female,Dir,Gilgit Baltistan,1.73,Weak,High (>250k),Intermediate,30,80,Yes,Yes,None,Frequent Outages,Public,English,5.7,Bus,High,None,Yes,None,Low
97,21,Male,Rahim Yar Khan,KPK,1.73,Weak,Upper-Middle (120k-250k),Matric,18,98,Yes,Yes,Laptop,Consistent,Public,English,32.6,Bike,High,None,No,Sports,Medium
98,18,Male,Skardu,KPK,1.73,Weak,Lower-Middle (30k-60k),Primary,33,66,No,No,Desktop,Consistent,Public,Urdu,30.3,Bike,High,None,Yes,None,High
99,23,Male,Mansehra,Punjab,1.74,Weak,Lower-Middle (30k-60k),Matric,11,64,No,No,Mobile,Consistent,Public,Urdu,9.3,Car,Low,None,Yes,Sports,High
100,18,Female,Chiniot,KPK,1.74,Weak,Middle (60k-120k),Graduate,15,78,Yes,No,None,Consistent,Public,English,22.1,Bus,High,None,No,Clubs,High
101,22,Female,Mardan,Gilgit Baltistan,1.74,Weak,Low (<30k),Intermediate,38,58,No,No,Mobile,Frequent Outages,Private,Urdu,15.3,Car,Low,None,Yes,Sports,High
102,18,Male,Bahawalpur,Gilgit Baltistan,1.74,Weak,Low (<30k),Matric,24,74,No,No,Desktop,Frequent Outages,Private,English,16.7,Walk,High,Chronic,Yes,None,Medium
103,23,Female,Gilgit,Azad Kashmir,1.75,Weak,High (>250k),Matric,17,82,Yes,No,Laptop,Frequent Outages,Semi-Government,Urdu,28.3,Van,High,Chronic,No,Sports,Low
104,25,Male,Sargodha,Azad Kashmir,1.75,Weak,Middle (60k-120k),Intermediate,26,78,No,Yes,Mobile,Consistent,Public,English,7.7,Walk,High,None,Yes,Clubs,Low
105,23,Male,Okara,Gilgit Baltistan,1.75,Weak,Low (<30k),Primary,17,96,No,Yes,Mobile,Consistent,Private,English,34.4,Bus,Low,Chronic,Yes,None,Medium
106,22,Male,Peshawar,Gilgit Baltistan,1.75,Weak,Middle (60k-120k),Graduate,7,55,Yes,No,Mobile,Frequent Outages,Public,Urdu,16.0,Car,High,None,No,None,Low
107,24,Female,Mirpur,Azad Kashmir,1.75,Weak,Middle (60k-120k),Matric,20,68,No,No,Mobile,Frequent Outages,Semi-Government,Urdu,29.6,Bike,Low,None,Yes,Clubs,Low
108,22,Female,Multan,Punjab,1.76,Weak,Lower-Middle (30k-60k),Primary,17,76,No,No,Laptop,Frequent Outages,Semi-Government,English,11.7,Van,Low,Chronic,No,Clubs,High
109,21,Male,Muzaffarabad,Punjab,1.76,Weak,Low (<30k),Graduate,12,61,Yes,Yes,Mobile,Consistent,Semi-Government,Urdu,19.9,Car,Low,Minor,Yes,Clubs,Low
110,23,Male,Skardu,KPK,1.76,Weak,Low (<30k),Matric,16,76,No,No,Desktop,Consistent,Semi-Government,Urdu,3.5,Walk,Low,Minor,Yes,None,Low
111,25,Female,Abbottabad,KPK,1.76,Weak,High (>250k),Primary,23,77,Yes,Yes,Laptop,Consistent,Public,English,17.4,Car,Medium,Minor,Yes,Sports,High
112,18,Female,Muzaffarabad,Punjab,1.77,Weak,Lower-Middle (30k-60k),Graduate,12,72,No,Yes,Desktop,Frequent Outages,Private,Urdu,10.6,Bike,Medium,Chronic,Yes,Clubs,Low
113,22,Female,Gilgit,Azad Kashmir,1.77,Weak,Low (<30k),Postgraduate,19,60,Yes,Yes,Mobile,Consistent,Semi-Government,English,13.6,Bike,Medium,Chronic,No,Sports,Low
114,22,Female,Kotli,KPK,1.77,Weak,Lower-Middle (30k-60k),Graduate,10,58,No,No,Mobile,Consistent,Public,English,29.6,Bus,High,Chronic,No,Sports,Low
115,25,Female,Swat,Punjab,1.77,Weak,Lower-Middle (30k-60k),Postgraduate,7,57,Yes,No,Mobile,Frequent Outages,Private,Urdu,33.6,Bus,Low,Chronic,No,Sports,High
116,20,Male,Diamer,Azad Kashmir,1.78,Weak,Upper-Middle (120k-250k),Intermediate,15,64,No,No,Mobile,Consistent,Semi-Government,English,6.1,Bike,Low,Chronic,No,Clubs,High
117,24,Male,Bannu,KPK,1.78,Weak,High (>250k),Matric,37,84,No,No,Mobile,Frequent Outages,Private,Urdu,28.4,Van,Low,None,Yes,None,Medium
118,24,Male,Lahore,KPK,1.78,Weak,Middle (60k-120k),Graduate,20,66,Yes,Yes,Laptop,Consistent,Public,Urdu,29.9,Van,Low,Chronic,No,None,Low
119,21,Female,Mirpur,KPK,1.78,Weak,High (>250k),Intermediate,27,55,No,No,Desktop,Consistent,Public,Urdu,23.0,Walk,High,Chronic,Yes,Sports,Low
120,24,Female,Sialkot,KPK,1.79,Weak,Middle (60k-120k),Intermediate,15,56,No,No,Desktop,Consistent,Public,English,12.9,Bike,Medium,Minor,No,None,Medium
121,22,Male,Skardu,Punjab,1.79,Weak,Middle (60k-120k),Graduate,26,71,No,Yes,Mobile,Frequent Outages,Private,Urdu,25.8,Bus,Low,Minor,Yes,Clubs,Low
122,23,Female,Kotli,Punjab,1.79,Weak,Low (<30k),Postgraduate,26,63,No,Yes,Laptop,Frequent Outages,Public,English,0.7,Walk,Low,Minor,Yes,None,Medium
123,19,Female,Diamer,Punjab,1.79,Weak,Lower-Middle (30k-60k),Postgraduate,10,78,No,Yes,None,Consistent,Private,Urdu,1.0,Walk,Low,Minor,Yes,Sports,Medium
124,17,Female,Sargodha,KPK,1.8,Weak,Lower-Middle (30k-60k),Graduate,15,79,Yes,Yes,Mobile,Consistent,Semi-Government,English,5.4,Bike,Low,None,Yes,None,Low
125,22,Male,Swat,KPK,1.8,Weak,Lower-Middle (30k-60k),Graduate,20,55,Yes,Yes,None,Frequent Outages,Semi-Government,English,33.0,Car,High,Chronic,No,Sports,Medium
126,20,Female,Sargodha,KPK,1.8,Weak,Low (<30k),Postgraduate,26,98,No,No,None,Consistent,Semi-Government,English,4.0,Van,High,None,No,Sports,High
127,17,Male,Rahim Yar Khan,KPK,1.8,Weak,Low (<30k),Intermediate,15,99,Yes,No,Laptop,Consistent,Private,Urdu,15.3,Bus,Medium,None,Yes,None,High
128,22,Male,Mardan,Gilgit Baltistan,1.81,Weak,Upper-Middle (120k-250k),Postgraduate,14,59,Yes,Yes,Desktop,Frequent Outages,Public,Urdu,11.4,Walk,High,Minor,No,Sports,Low
129,24,Female,Charsadda,Punjab,1.81,Weak,High (>250k),Postgraduate,30,56,Yes,Yes,Laptop,Frequent Outages,Private,English,34.4,Van,Low,Chronic,No,Clubs,Low
130,18,Male,Mardan,KPK,1.81,Weak,High (>250k),Postgraduate,37,80,No,No,Laptop,Consistent,Public,English,4.6,Walk,Medium,None,No,Sports,Medium
131,25,Male,Charsadda,Punjab,1.81,Weak,Middle (60k-120k),Primary,29,90,Yes,Yes,Desktop,Frequent Outages,Semi-Government,English,26.3,Car,Medium,Minor,No,Sports,High
132,21,Female,Bahawalpur,KPK,1.81,Weak,Lower-Middle (30k-60k),Postgraduate,31,64,Yes,No,None,Consistent,Private,Urdu,13.6,Car,Low,None,No,None,Low
133,17,Male,Sialkot,KPK,1.82,Weak,Lower-Middle (30k-60k),Primary,37,96,Yes,No,None,Consistent,Semi-Government,English,30.6,Van,Medium,Minor,Yes,None,Medium
134,19,Female,Sargodha,Gilgit Baltistan,1.82,Weak,Middle (60k-120k),Primary,38,59,No,Yes,None,Consistent,Semi-Government,Urdu,17.6,Van,Low,Chronic,Yes,Sports,High
135,17,Female,Mansehra,Gilgit Baltistan,1.82,Weak,Middle (60k-120k),Intermediate,13,61,No,Yes,Mobile,Consistent,Semi-Government,Urdu,12.1,Walk,High,None,Yes,Sports,Low
136,24,Male,Kotli,Gilgit Baltistan,1.82,Weak,High (>250k),Graduate,23,97,Yes,No,Mobile,Frequent Outages,Semi-Government,Urdu,32.6,Van,High,Minor,Yes,Clubs,Medium
137,23,Female,Hunza,Gilgit Baltistan,1.83,Weak,Middle (60k-120k),Graduate,6,63,No,No,Desktop,Consistent,Semi-Government,English,33.8,Walk,High,Minor,No,Clubs,High
138,19,Male,Mirpur,KPK,1.83,Weak,Middle (60k-120k),Primary,10,59,No,Yes,None,Consistent,Semi-Government,English,23.8,Walk,High,None,No,Clubs,High
139,22,Female,Hunza,Punjab,1.83,Weak,Middle (60k-120k),Postgraduate,36,78,Yes,No,Mobile,Consistent,Semi-Government,English,24.5,Bus,Low,Minor,No,None,Low
140,18,Female,Sargodha,KPK,1.83,Weak,Middle (60k-120k),Postgraduate,18,72,Yes,Yes,Desktop,Frequent Outages,Public,Urdu,6.7,Car,Medium,None,No,Clubs,High
141,17,Male,Swat,Punjab,1.84,Weak,Lower-Middle (30k-60k),Primary,6,58,Yes,No,Desktop,Consistent,Public,Urdu,2.7,Walk,Low,Chronic,Yes,None,Medium
142,17,Female,Muzaffarabad,KPK,1.84,Weak,Low (<30k),Matric,15,66,Yes,No,Laptop,Consistent,Public,English,22.3,Van,High,Minor,No,Sports,Medium
143,18,Female,Bannu,KPK,1.84,Weak,High (>250k),Postgraduate,38,96,Yes,No,Laptop,Frequent Outages,Semi-Government,Urdu,14.9,Car,Medium,Chronic,No,Sports,Low
144,18,Male,Bahawalpur,KPK,1.84,Weak,Upper-Middle (120k-250k),Intermediate,26,61,No,No,None,Frequent Outages,Semi-Government,English,17.7,Bus,Low,Minor,Yes,None,High
